QUANTITATIVO DE BENEFICIÁRIO DE PENSÃO;;;;;;;;;;;
;;;;;;;;;;;
Nm Grupo;Ano;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;;;;
ALMIRANTE/MARECHAL/MARECHAL DO AR;Almirante/Marechal/Marechal do Ar;668;682;697;696;720;726;759;792;795;806
OFICIAIS GENERAIS;Almirante-de-Esquadra, General-de-Exército e Tenente-Brigadeiro-do-Ar ;288;295;301;308;337;351;383;399;412;423
;Contra-Almirante,General-de-Brigada e Brigadeiro;422;436;456;496;512;546;564;581;621;647
;Vice-Almirante, General-de-Divisão e Major-Brigadeiro;436;447;467;488;528;532;554;585;607;632
OFICIAIS SUPERIORES;Capitão-de-Corveta e Major;878;903;922;939;960;982;1012;1045;1064;1067
;Capitão-de-Fragata e Tenente-Coronel;750;774;814;836;853;877;909;914;945;963
;Capitão-de-Mar-e-Guerra e Coronel;575;622;638;665;698;732;759;774;816;849
OFICIAIS INTERMEDIÁRIOS;Capitão-Tenente e Capitão;1060;1069;1083;1101;1126;1142;1162;1185;1189;1200
OFICIAIS SUBALTERNOS;Primeiro-Tenente;5075;5270;5478;5688;5943;6154;6381;6560;6717;6916
;Segundo-Tenente;5674;5834;6533;7121;7685;7962;8257;8570;8762;9074
PRAÇAS ESPECIAIS;Aluno Da Escola de Formação de Sargentos;1;1;1;1;1;1;1;1;1;1
;Guarda-Marinha e Aspirante-a-Oficial;30;29;29;30;30;28;28;27;24;25
PRAÇAS GRADUADAS;Cabo(não engajado);1007;1028;1059;1081;1102;1123;1128;1156;1169;1186
;Primeiro-Sargento;1091;1527;1910;2018;2065;2077;2127;2165;2166;2210
;Segundo-Sargento;2791;2852;2941;2962;3015;3083;3120;3175;3246;3306
;Suboficial e Subtenente;1477;2582;2943;2942;2847;2972;3042;3208;3356;3404
;Terceiro-Sargento;3818;3056;2715;2636;2637;2703;2755;2855;2906;2936
DEMAIS PRAÇAS;Marinheiro-Recruta , Soldado-Recruta, Recruta, Soldado, Soldado de 2ª Classe (não engajado) e Soldado-Clarim ou Corneteiro de 3ª Classe;4;246;253;269;268;265;265;266;5;5
;Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe (não especializado) e Soldado-Clarim ou Corneteiro de 2ª Classe, Soldado do Exército e Soldado de 2ª Classe(engajado);416;198;197;201;202;0;0;0;543;542
;Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe(especializados, cursados e engajados), Soldado-Clarim ou Corneteiro 1ª Classe e Soldado Pára-Quedista(engajado);168;164;168;169;169;376;380;388;114;117
;Taifeiro de 1ª Classe;539;384;220;166;147;135;139;142;142;141
;Taifeiro de 2ª Classe;232;156;90;77;68;67;67;63;69;69
;Taifeiro-Mor;843;491;233;172;149;151;144;145;142;142
