QUANTITATIVO DE MILITARES NA RESERVA REMUNERADA;;;;;;;;;;;
;;;;;;;;;;;
Nm Grupo;Ano;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;Desc Pst;Total R;Total R;Total R;Total R;Total R;Total R;Total R;Total R;Total R;Total R
ALMIRANTE/MARECHAL/MARECHAL DO AR;Almirante/Marechal/Marechal do Ar;65;67;67;69;71;69;69;71;73;71
OFICIAIS GENERAIS;Almirante-de-Esquadra, General-de-Exército e Tenente-Brigadeiro-do-Ar ;121;122;124;131;131;130;130;126;121;123
;Contra-Almirante,General-de-Brigada e Brigadeiro;1594;1585;1565;1548;1515;1494;1480;1466;1439;1420
;Vice-Almirante, General-de-Divisão e Major-Brigadeiro;360;357;366;361;360;370;361;362;365;365
OFICIAIS SUPERIORES;Capitão-de-Corveta e Major;1138;1134;1143;1152;1153;1159;1155;1138;1172;1179
;Capitão-de-Fragata e Tenente-Coronel;1426;1473;1511;1578;1607;1652;1669;1709;1727;1751
;Capitão-de-Mar-e-Guerra e Coronel;1438;1501;1614;1763;1856;1980;2100;2206;2310;2388
OFICIAIS INTERMEDIÁRIOS;Capitão-Tenente e Capitão;1016;1057;1110;1205;1269;1395;1537;1686;1811;1932
OFICIAIS SUBALTERNOS;Primeiro-Tenente;1516;1524;1575;1672;1744;1747;1784;1729;1777;1790
;Segundo-Tenente;8752;10546;10394;10133;9835;9569;9296;9036;8808;8513
PRAÇAS ESPECIAIS;Aluno Da Escola de Formação de Sargentos;0;1;0;0;0;0;0;0;0;1
;Aluno do Colégio Naval, Aluno da Escola Preparatória de Cadetes do Exército e da Aeronáutica (Último Ano);1;1;1;1;1;1;1;1;1;1
;Aspirante da EN, Cadete da AMAN, Cadete da AFA e Aluno do Instituto Militar de Engenharia(Demais Anos);0;0;0;1;0;0;0;0;0;0
;Guarda-Marinha e Aspirante-a-Oficial;7;8;8;7;7;7;7;6;6;6
PRAÇAS GRADUADAS;Cabo(não engajado);479;498;498;494;491;462;455;438;419;401
;Primeiro-Sargento;809;918;970;1028;1050;1075;1064;1114;1115;1125
;Segundo-Sargento;1706;1388;1361;1326;1281;1217;1219;1191;1125;1089
;Suboficial e Subtenente;4521;6129;6864;7885;8366;8828;9259;10072;10762;11352
;Terceiro-Sargento;6799;5026;5360;5693;5813;5921;6104;6359;6574;6664
DEMAIS PRAÇAS;Marinheiro-Recruta , Soldado-Recruta, Recruta, Soldado, Soldado de 2ª Classe (não engajado) e Soldado-Clarim ou Corneteiro de 3ª Classe;35;303;311;325;336;344;346;358;37;34
;Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe (não especializado) e Soldado-Clarim ou Corneteiro de 2ª Classe, Soldado do Exército e Soldado de 2ª Classe(engajado);419;146;139;134;131;0;0;0;443;448
;Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe(especializados, cursados e engajados), Soldado-Clarim ou Corneteiro 1ª Classe e Soldado Pára-Quedista(engajado);76;79;80;89;89;217;219;218;109;111
;Taifeiro de 1ª Classe;140;34;12;10;14;13;15;15;13;12
;Taifeiro de 2ª Classe;68;28;9;9;13;13;13;12;10;10
;Taifeiro-Mor;233;49;22;10;10;10;10;10;9;9
